Instrument,week,Volume,PnL,Spread PnL,LR PnL,trades,Open/Close PnL,LL PnL,Price Improvement PnL,PnL ($/M),Open/Close PnL ($/M),LR PnL ($/M),LL PnL ($/M),Price Improvement PnL ($/M),Spread PnL ($/M),realized_vol,weekly_return,abs_return,trend_eff,vol_change_pct,toxicity,expected_toxicity,excess_toxicity,excess_z,pct_market,pct_system,market_offset,flagged,severity,regime,bad_week,excess,system_hurt,system_helped,material_system_hurt,prev_bad,consecutive_bad,excess_severity,weekly_risk_score,execution_risk_8w,driver_label,pnl_pct_change,pnl_trend_4w,pnl_trend_8w,trend_penalty,band,prev_band,strong_recovery
AUDUSD,2025-04-06,57.024943050000005,-75993.94827305549,8013.207620907004,383.3100000001127,335,0.0,30.060664499923686,690.2099999999266,-1332.6440011772268,0.0,6.721795402128204,0.5271493997559316,12.103650842662727,140.52109817770355,0.016213470287289183,0.006441706433053622,0.006441706433053622,0.3973058400769207,1.2916491676006214,653.7287905491585,-153.40258951482184,807.1313800639803,3.374353212041495,16.0,84.0,True,True,severe,"Market supportive, system-driven loss",True,807.1313800639803,True,False,True,,False,3.374353212041495,,,System Underperformed,,,,,Normal,,False
AUDUSD,2025-04-13,34.347539395000005,23698.587043120937,4520.412384835264,637.7699999998695,400,0.0,146.75310049978938,336.3099999999309,689.9646222276626,0.0,18.56814232499898,4.272594284327463,9.791385523496562,131.60804134613798,0.07124944802025422,0.038607955424847525,0.038607955424847525,0.5418702389648319,3.3944600852114553,-689.9646222276626,-214.3842652558464,-475.58035697181623,-1.867530005872591,31.0,69.0,False,False,normal,Normal,False,-475.58035697181623,False,True,False,True,False,0.0,,,,-1.0,,,,Normal,Normal,True
AUDUSD,2025-04-20,71.45544918499999,-2549.5214856648754,10636.732064406122,1933.3200000000072,404,0.0,946.8781299999062,326.6199999997547,-35.679874869502235,0.0,27.056299023389975,13.251307504182282,4.570959999903256,148.85823524623504,0.010084763167708772,0.011311553331441598,0.011311553331441598,1.121647890320418,-0.8584583677779236,35.679874869502235,-144.53477987089457,180.2146547403968,0.8124180814739338,45.0,55.0,True,False,normal,Normal,False,180.2146547403968,True,False,True,False,False,0.8124180814739338,,,System Underperformed,-1.0,-1.0,,,Normal,Normal,False
AUDUSD,2025-04-27,93.651348315,-8316.846875484958,16128.841275552553,1784.5799999995597,399,0.0,341.12088599976687,642.4699999994407,-88.80648303653798,0.0,19.055571885596933,3.6424556841658413,6.8602322503512445,172.2222003820229,0.015430696271908899,-0.0028857366424173835,0.0028857366424173835,0.1870127304411258,0.5301000147745369,88.80648303653798,-153.30030145359203,242.10678449013,1.0653442120212477,39.0,61.0,True,False,normal,Normal,False,242.10678449013,True,False,True,False,False,1.0653442120212477,,,System Underperformed,1.0,-0.3333333333333333,,,Normal,Normal,False
AUDUSD,2025-05-04,79.38951284000001,16134.590977086762,13343.294072508299,967.5100000000184,380,0.0,-516.6891150006081,896.1599999999823,203.2332785515901,0.0,12.18687412719005,-6.508279198562822,11.288140812831095,168.0737618254454,0.012891326128111521,0.0004278923120841035,0.0004278923120841035,0.03319226492540736,-0.16456614134906034,-203.2332785515901,-151.03870017549318,-52.19457837609693,-0.1373370533601004,74.0,26.0,False,False,normal,Normal,False,-52.19457837609693,False,True,False,False,False,0.0,0.6749999999999999,0.6749999999999999,,-1.0,-0.5,-0.5,0.6749999999999999,Normal,Normal,True
AUDUSD,2025-05-11,29.550933310000005,6984.078668790602,3506.641061537693,367.2899999999362,247,0.0,195.66612200030843,116.5799999998357,236.34037529458323,0.0,12.42904906409997,6.62131784291548,3.9450530640392723,118.66430832325182,0.019534983301859724,-0.008254790189888277,0.008254790189888277,0.42256448661015356,0.5153587076864563,-236.34037529458323,-157.15908859154473,-79.1812867030385,-0.24761995590267658,66.0,34.0,False,False,normal,Normal,False,-79.1812867030385,False,True,False,False,False,0.0,0.5389117699271339,0.6341735309781401,,0.16290194686097625,-0.20927451328475594,-0.36741961062780476,0.5389117699271339,Normal,Normal,True
AUDUSD,2025-05-18,89.99846578500002,6742.102276824438,17051.887226264695,1436.739999999801,379,0.0,1390.1988230000743,383.48999999983147,74.91352455863908,0.0,15.964049914273778,15.446916909907788,4.261072637793204,189.4686434655503,0.021887577307878093,-0.0023601721152865913,0.0023601721152865913,0.10783158328067145,0.12042979354860273,-74.91352455863908,-160.85332657771136,85.93980201907227,0.42715789083030353,65.0,35.0,False,False,normal,Normal,False,85.93980201907227,True,False,False,False,False,0.42715789083030353,0.6336258295838787,0.6340092205598616,,-0.6830269713109148,-0.13003125611248464,-0.42002083740832313,0.42004688416872693,Normal,Normal,True
AUDUSD,2025-05-25,57.11962892500001,16299.65704158069,9359.208203367249,1636.930000000313,337,0.0,393.70414999960747,368.56000000037716,285.35999530008655,0.0,28.657924268899873,6.89262443417751,6.4524228699788795,163.8527486874294,0.01042243446262519,-3.0686162114838186e-05,3.0686162114838186e-05,0.0029442413118430867,-0.5238196390573663,-285.35999530008655,-148.4162283368193,-136.94376696326725,-0.4836700107660453,52.0,48.0,False,False,normal,Normal,False,-136.94376696326725,False,True,False,False,False,0.0,0.357917422502649,0.5511816811426978,,1.0,-0.13003125611248467,-0.21716071777856266,0.357917422502649,Normal,Normal,True
AUDUSD,2025-06-01,54.21319098,4375.688539880907,8558.614787252996,1103.6600000001586,324,0.0,84.42381199978054,407.16000000005164,80.71261736825562,0.0,20.35777603290893,1.5572559090079323,7.510349282894243,157.86960023088088,0.017791838866260113,-0.008525597225419129,0.008525597225419129,0.47918583849063545,0.707071311415925,-80.71261736825562,-154.9966166120703,74.28399924381469,0.37952571035292626,68.0,32.0,False,False,normal,Normal,False,74.28399924381469,True,False,False,False,False,0.37952571035292626,0.48848791674249875,0.5323735518226381,,-0.7171551068909372,-0.05932003283521897,-0.2796600164176095,0.2987250615660356,Normal,Normal,True
AUDUSD,2025-06-08,46.83470977499999,22720.415008465592,7140.776804925115,1358.270000000087,340,0.0,23.818029499781517,411.01999999977636,485.11915879520564,0.0,29.00135404970783,0.5085550783640256,8.775969830375157,152.4676215403134,0.011272036402548662,0.01038866307836913,0.01038866307836913,0.9216314344070254,-0.3664490507541298,-485.11915879520564,-146.43137708983372,-338.6877817053719,-1.308109777439622,30.0,70.0,False,False,normal,Normal,False,-338.6877817053719,False,True,False,False,False,0.0,0.022245012313207115,0.3793349899698088,,1.0,0.14995448044953696,-0.029660016417609486,0.022245012313207115,Normal,Normal,True
